iter	Passed	Remaining
1297	15678	20558
1298	15690	20545
1299	15701	20533
1300	15713	20520
1301	15723	20505
1302	15735	20493
1303	15745	20478
1304	15757	20466
1305	15768	20453
1306	15779	20439
1307	15790	20426
1308	15801	20413
1309	15813	20400
1310	15824	20387
1311	15837	20375
1312	15848	20363
1313	15861	20352
1314	15873	20339
1315	15884	20326
1316	15895	20313
1317	15907	20300
1318	15920	20289
1319	15931	20276
1320	15943	20263
1321	15954	20251
1322	15966	20238
1323	15977	20225
1324	15991	20215
1325	16002	20202
1326	16015	20191
1327	16028	20180
1328	16039	20167
1329	16051	20154
1330	16062	20141
1331	16074	20128
1332	16085	20116
1333	16097	20104
1334	16109	20091
1335	16120	20078
1336	16131	20065
1337	16143	20053
1338	16156	20041
1339	16167	20028
1340	16180	20017
1341	16191	20004
1342	16202	19991
1343	16214	19978
1344	16225	19965
1345	16238	19953
1346	16249	19941
1347	16261	19928
1348	16272	19915
1349	16284	19902
1350	16295	19890
1351	16306	19877
1352	16318	19863
1353	16328	19850
1354	16339	19836
1355	16350	19823
1356	16362	19810
1357	16370	19793
1358	16381	19780
1359	16392	19767
1360	16403	19754
1361	16414	19741
1362	16425	19727
1363	16437	19715
1364	16449	19702
1365	16460	19689
1366	16471	19676
1367	16482	19663
1368	16495	19652
1369	16506	19639
1370	16518	19626
1371	16529	19613
1372	16540	19600
1373	16551	19587
1374	16563	19575
1375	16575	19563
1376	16588	19551
1377	16599	19538
1378	16610	19524
1379	16621	19512
1380	16633	19500
1381	16644	19486
1382	16655	19473
1383	16666	19460
1384	16677	19447
1385	16688	19433
1386	16699	19420
1387	16711	19408
1388	16724	19397
1389	16735	19384
1390	16747	19371
1391	16757	19358
1392	16769	19345
1393	16780	19332
1394	16792	19320
1395	16803	19307
1396	16814	19293
1397	16825	19280
1398	16836	19267
1399	16848	19255
1400	16859	19242
1401	16869	19227
1402	16881	19215
1403	16892	19202
1404	16904	19190
1405	16915	19177
1406	16926	19163
1407	16937	19151
1408	16948	19138
1409	16960	19125
1410	16970	19111
1411	16982	19099
1412	16993	19086
1413	17005	19073
1414	17017	19061
1415	17027	19048
1416	17039	19035
1417	17050	19022
1418	17061	19009
1419	17072	18996
1420	17083	18983
1421	17095	18971
1422	17107	18958
1423	17119	18947
1424	17131	18934
1425	17142	18921
1426	17153	18908
1427	17165	18895
1428	17176	18883
1429	17188	18871
1430	17199	18858
1431	17209	18844
1432	17221	18831
1433	17232	18819
1434	17243	18805
1435	17254	18792
1436	17266	18780
1437	17280	18770
1438	17292	18758
1439	17304	18746
1440	17315	18733
1441	17327	18721
1442	17338	18708
1443	17350	18695
1444	17361	18683
1445	17373	18670
1446	17384	18657
1447	17395	18645
1448	17407	18632
1449	17417	18618
1450	17429	18606
1451	17440	18593
1452	17452	18581
1453	17463	18568
1454	17475	18556
1455	17486	18543
1456	17498	18531
1457	17509	18517
1458	17520	18505
1459	17531	18492
1460	17543	18479
1461	17554	18466
1462	17565	18453
1463	17576	18440
1464	17587	18428
1465	17600	18416
1466	17612	18404
1467	17623	18392
1468	17635	18379
1469	17646	18366
1470	17657	18353
1471	17669	18341
